epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,122.9,0.87825,0.54143,1,1.36069,0.00331471,0.00331471,0.0701676
2,240.472,0.95188,0.61166,1,0.99597,0.00655402,0.00655402,0.0400736
3,358.305,0.94164,0.64326,1,0.94803,0.00969905,0.00969905,0.00988527
4,472.701,0.90395,0.55758,1,1.14708,0.00957571,0.00957571,0.00957571
5,587.283,0.81678,0.7514,1,0.63899,0.00943429,0.00943429,0.00943429
6,700.636,0.81204,0.74298,1,0.64964,0.00929286,0.00929286,0.00929286
7,814.434,0.7385,0.74368,1,0.66104,0.00915143,0.00915143,0.00915143
8,929.173,0.69671,0.77458,1,0.5905,0.00901,0.00901,0.00901
9,1042.4,0.7,0.79705,1,0.53515,0.00886857,0.00886857,0.00886857
10,1157.65,0.67191,0.7809,1,0.58554,0.00872714,0.00872714,0.00872714
11,1272.99,0.64093,0.79705,1,0.53094,0.00858571,0.00858571,0.00858571
12,1386.34,0.5969,0.8125,1,0.50569,0.00844429,0.00844429,0.00844429
13,1500.23,0.61581,0.78792,1,0.52208,0.00830286,0.00830286,0.00830286
14,1615.08,0.60042,0.80829,1,0.49714,0.00816143,0.00816143,0.00816143
15,1728.01,0.56237,0.79354,1,0.59118,0.00802,0.00802,0.00802
16,1841.9,0.55534,0.85183,1,0.39394,0.00787857,0.00787857,0.00787857
17,1955.77,0.55846,0.84691,1,0.44052,0.00773714,0.00773714,0.00773714
18,2066.25,0.54924,0.85253,1,0.37265,0.00759571,0.00759571,0.00759571
19,2179.23,0.5357,0.83076,1,0.46483,0.00745429,0.00745429,0.00745429
20,2291.22,0.50877,0.87149,1,0.36338,0.00731286,0.00731286,0.00731286
21,2405.66,0.51135,0.84199,1,0.41925,0.00717143,0.00717143,0.00717143
22,2522.71,0.48628,0.86236,1,0.37472,0.00703,0.00703,0.00703
23,2635.84,0.51198,0.8448,1,0.43424,0.00688857,0.00688857,0.00688857
24,2749.82,0.47814,0.875,1,0.33717,0.00674714,0.00674714,0.00674714
25,2863.46,0.47,0.85815,1,0.37128,0.00660571,0.00660571,0.00660571
26,2975.05,0.44492,0.87149,1,0.3497,0.00646429,0.00646429,0.00646429
27,3086.33,0.43832,0.86447,1,0.36636,0.00632286,0.00632286,0.00632286
28,3195.49,0.42743,0.88975,1,0.3117,0.00618143,0.00618143,0.00618143
29,3306.38,0.41846,0.88904,1,0.32371,0.00604,0.00604,0.00604
30,3411.2,0.402,0.88553,1,0.34817,0.00589857,0.00589857,0.00589857
31,3518.27,0.42234,0.87711,1,0.33683,0.00575714,0.00575714,0.00575714
32,3626.69,0.41162,0.87711,1,0.34508,0.00561571,0.00561571,0.00561571
33,3734.11,0.39887,0.89958,1,0.29288,0.00547429,0.00547429,0.00547429
34,3839.82,0.37978,0.89607,1,0.28376,0.00533286,0.00533286,0.00533286
35,3948.14,0.39834,0.89958,1,0.28952,0.00519143,0.00519143,0.00519143
36,4055.07,0.37047,0.90169,1,0.26436,0.00505,0.00505,0.00505
37,4162.24,0.32871,0.90098,1,0.28086,0.00490857,0.00490857,0.00490857
38,4273.06,0.36711,0.9073,1,0.27399,0.00476714,0.00476714,0.00476714
39,4380.58,0.34879,0.90098,1,0.30218,0.00462571,0.00462571,0.00462571
40,4491.58,0.33475,0.89958,1,0.28422,0.00448429,0.00448429,0.00448429
41,4598.7,0.32127,0.91573,1,0.25981,0.00434286,0.00434286,0.00434286
42,4708.64,0.32968,0.91573,1,0.24138,0.00420143,0.00420143,0.00420143
43,4818.13,0.2985,0.91784,1,0.24139,0.00406,0.00406,0.00406
44,4928.15,0.28901,0.90449,1,0.28659,0.00391857,0.00391857,0.00391857
45,5039.89,0.29113,0.91573,1,0.24313,0.00377714,0.00377714,0.00377714
46,5153.51,0.28968,0.91292,1,0.25138,0.00363571,0.00363571,0.00363571
47,5265.79,0.28965,0.91994,1,0.24029,0.00349429,0.00349429,0.00349429
48,5380.92,0.25494,0.91503,1,0.25714,0.00335286,0.00335286,0.00335286
49,5491.08,0.26142,0.92486,1,0.25253,0.00321143,0.00321143,0.00321143
50,5602.09,0.27885,0.92275,1,0.24074,0.00307,0.00307,0.00307
51,5713.25,0.27181,0.92767,1,0.2403,0.00292857,0.00292857,0.00292857
52,5825.99,0.25633,0.92767,1,0.21456,0.00278714,0.00278714,0.00278714
53,5937.35,0.24668,0.91854,1,0.24075,0.00264571,0.00264571,0.00264571
54,6051.26,0.24314,0.92697,1,0.21795,0.00250429,0.00250429,0.00250429
55,6163,0.23104,0.92837,1,0.21171,0.00236286,0.00236286,0.00236286
56,6272.07,0.21583,0.92978,1,0.22373,0.00222143,0.00222143,0.00222143
57,6382.41,0.21724,0.93539,1,0.20359,0.00208,0.00208,0.00208
58,6494.34,0.20033,0.9389,1,0.26415,0.00193857,0.00193857,0.00193857
59,6608.76,0.2141,0.93258,1,0.22256,0.00179714,0.00179714,0.00179714
60,6718.51,0.18434,0.93961,1,0.1915,0.00165571,0.00165571,0.00165571
61,6839.09,0.18932,0.94522,1,0.19534,0.00151429,0.00151429,0.00151429
62,6955.32,0.19618,0.9368,1,0.2036,0.00137286,0.00137286,0.00137286
63,7072.26,0.18199,0.9382,1,0.20924,0.00123143,0.00123143,0.00123143
64,7185.08,0.17483,0.94382,1,0.21919,0.00109,0.00109,0.00109
65,7296.65,0.15991,0.94031,1,0.20131,0.000948571,0.000948571,0.000948571
66,7408.36,0.15813,0.94452,1,0.19826,0.000807143,0.000807143,0.000807143
67,7519.51,0.16251,0.94031,1,0.2071,0.000665714,0.000665714,0.000665714
68,7633.4,0.15211,0.94452,1,0.21091,0.000524286,0.000524286,0.000524286
69,7747.37,0.15599,0.93961,1,0.2087,0.000382857,0.000382857,0.000382857
70,7862.18,0.14683,0.94101,1,0.20234,0.000241429,0.000241429,0.000241429
